Adjectives,Subject,Time Period,Region,About (Buzzword),About,Professor Adjective,Who,For,Other,Class
Absurdly Useful,Interdisciplinary Studies in the Humanities,Post-9/11,Near East,Nonparametric,Genocide,Really Old,lives in her office,Anti-authoritarians,with labs that are actually fun,AANL 10101 Elementary Hittite I
Alternative,Romance Languages and Literatures,Roaring twenties,Far East,Utilitarian,Rational choice theory,Motivating,takes class outside on nice days,People who have made up their own language,with labs that will crush your soul,AANL 10102 Elementary Hittite II
Application- Based,Near Eastern Languages and Civilizations,Cold War,SoCal,non-Hausdorff,Critical Theory,Grad student,grades on a Poisson curve,neeeeeeeerds,with 30-hour psets,AANL 10103 Elementary Hittite III
Blaxploitation,Music,1991-1992,Florida,Systematic,The Life and Achievements of Donald Trump,Demanding,lives in Wisconsin,people who believe in rationality,with 200 pages of reading per class,AKKD 10101 Elementary Akkadian I
Cerebral,Chemistry,Industrial Revolution,Canadia,Socially-Constructed,Dead White Men,Strong Female,Plays in a Band on Weekends,Libertarians,With Readings By Dead White Men,AKKD 10102 Elementary Akkadian II
Classic,Anthropology,Fin-de-Siecle,Greece,Post-structural,Queer studies,Witty,Makes Cheesy Jokes Like Your Dad,Hipsters,With Minimum Requirements,AKKD 10103 Elementary Akkadian III
Controversial,International Studies,Space Age,Yunnan,Interdisciplinary,Fourier Series,Trans-Human,doesn't have an office,Card-carrying members of the Communist Party,with a three-hour lecture,AKKD 20345 Topics in Old Babylonian Family Law
Critically Acclaimed,Art History,Post-WWII,Africa,Descontructive,NINJAS!,Goofy,Won't Notice If You Don't Show Up To Class,That Kids,"That Will Make Your Parents Wonder What They're Spending $60,000 a Year For",AKKD 20362 Middle Assyrian Texts
Dinosaur,Mathematics,Age of Aquarius,,Unbiased,The Structure of Reason,Telepathic,throws rocks at other professors' office windows,"the people, of the people, by the people",with a hot TA,AKKD 30313 Akkadian Historical Texts
Easy A,Comparative Race and Ethnic Studies,Medieval,Eastern Europe,Epiphenomenol,The Meaning of Life,Conservative,Will notice if you don't show up to class,People Who Haven't Decided on a Major Yet,Like a job that you pay for,AKKD 30314 Akkadian Wisdom Literature
Enjoyable,Philosophy,The Big Bang,Western Europe,Post-modernist,Animals,Eccentric,invites you to play farmville,Socialists in training,with an incompetent TA,AKKD 30342 Old Babylonian Legal Texts
Epic,Jewish Studies,Baroque,Former Soviet Union,Ethnographic,Convolutions in n-Dimensions,Marxist,snacks on potato chips throughout the lecture,People with too much time on their hands,with a nice TA,ANTH 20100 The Inka and Aztec States
Exhilarating,Religious Studies,Age of Spanish Hegemony,Inner city,Post-post-modernist,white privilege,Self-Deprecating,lectures on nothing that will be on the test,Vegetarians,"meets the general education requirement in the dramatic, musical, and visual arts.",ANTH 20405 Anthropology of Disability
Experimental,Linguistics,Khmer Empire,Sub-saharan,Experimental,Rules and Private Language,Orthodox Religious,wears a sweater vest,Font-lovers,Previous experience in media-based studio courses not accepted as a substitute for this course.,ANTH 20535 The Social Life of Clean Energy
Feel-Bad,Biological Sciences,WWII,Suburbia,Foucaultian,People Who Are Not Dead White Men,Foreign,Is of Biblical Proportions,Well-Meaning Liberals,Of Biblical Proportions,"ANTH 21015 Media, Culture, and Society"
Feel-Good,Biological Chemistry,Pre-WWII,India,Lacanian,DINOSAURS!,Hard to Understand,Has a Cult Following,Social Justice Activists,With Readings By People Who Are Not Dead White Men,ANTH 21102 Classical Readings in Anthropology: History and Theory of Human  Evolution
Fight-the-System,Geographical Studies,Renaissance,The Arctic,Enlightenment,Markets,Maverick,can time travel,people who can't do math,"NO BIOLOGICAL SCIENCES MAJORS, except by petition",ANTH 21107 Classical Readings in Anthropology: Anthropological Theory
Funny,New Collegiate Division,Ayyubid Dynasty,North Korea,Transcendental,Evolution,Fatherly,wishes she were teaching at MIT,Men's Rights Activists,will help you survive the apocolypse,ANTH 21201 Intensive Study of a Culture: Chicago Blues
Girl Power,Humanities,,France,Dynamical,The Power of Words,Funny,makes fun of left-handed students,People who need to be convinced not to go to grad school,,ANTH 21217 Intensive Study of a Culture: The Luo of Kenya
Goofy,Cinema and Media Studies,Early-20th-Century,America,Dialectical,American Imperialism,Cool,Always Dresses Well,Young Republicans,Where You Still Don't Really Know What The Class Is About When You Finish It,ANTH 21225 Intensive Study of a Culture: Louisiana
Great Books,Natural Sciences,,,Paracompact,Cards Against Humanity,Experienced,lives in Oklahoma,anarchists,,ANTH 21230 Intensive Study of a Culture: Lowland Maya History and Ethnography
Hard,Psychology,,,Freudian,Axiom of Choice,Memorable,is a name-dropper,Pet lovers,,ANTH 21251 Intensive Study of a Culture: Modern China
Heartfelt,Gender and Sexuality Studies,Dark Ages,North Dakota,Eixistnetial,Discourses,Incredibly Nice,is carnivirous,Wannabe Engineers,,ANTH 21254 Intensive Study of a Culture: Pirates
Hidden Gem,English Language and Literature,1391-1882,Australia,Humean,The Other,Irreverant,belives in ghosts,Jocks,,ANTH 21255 Intensive Study of a Culture: The Senegambia
Inspiring,Fundamentals: Issues and Texts,The Era of Good Feelings,Upper half plane,Rational,Society,Genius,is a vegetarian,Solipsists,,ANTH 21264 Intensive Study of a Culture: Political Struggles of Highland Asia
Life Changing,Public Policy Studies,,,Anarchist,N-Dimensional Space,Insulting,gossips about other professors,Cult followers,,"ANTH 21265 Intensive Study of a Culture, Celts: Ancient, Modern, and Postmodern"
Mad-Scientist,Germanic Studies,The French Revolution,"Mount Vernon, SD",Jungian,Life Itself,Clever,doesn't know how to use the blackboard,Pre-meds,,ANTH 21303 Making the Natural World: Foundations of Human Ecology
Memorable,Comparative Human Development,Edwardian,Chicago,Discursive,Politics,Disorganized,Brings pet cats to class,Last-Quarter Seniors,All readings are completely optional,"ANTH 21307 Modern Readings in Anthropology: History, Ethnohistory, and  Archaeology"
Mind-bending,East Asian Languages and Civilizations,Post-Apocalyptic,China,Theoretical,The Male Gaze,Quirky,rides a scooter to class,Future I-Bankers,The TA will sell you coke for a pretty good price,ANTH 21401 Practice of Anthropology: Logic and Practice of Archaeology
Over-subscribed,"Law, Letters, and Society",Ming Dynasty,Scandinavia,Computational,Formal Languages,Effervescent,tells stories about his father,People who really enjoyed sosc,,ANTH 21406 The Practice of Anthropology: Celebrity and Science in  Paleoanthropology
Political,Classical Studies,Modern,Latin America,Socio-political,Poverty,Boring,Buys the class donuts,Feminists,that is a grad class,ANTH 21420 The Practice of Anthropology: Ethnographic Methods
Practical,Environmental Science,1989-2014.3589041095890411,England,Aristotlean,The Patriarchy,Cynical,whatches game of thrones,Theater Kids,,ANTH 22000 The Anthropology of Development
Provocative,Latin American Studies,Gilded,Russia,Reductionist,Infinity,Sexy,shaves only on Thursdays,Burned-out grad students,,ANTH 22105 The Anthropology of Science
Punk Rock,Medieval Studies,Soviet,Siberia,Revolutionary,The Imagination,Pixie Sized,lives in Indiana,Kim Jong Un,,ANTH 22123 Science Studies III: Information Age
Quirky,Economics,Atemporal,Asia,Hegelian,The Female Gaze,Well-Organized,is a ninja,Future Politicians,,ANTH 22125 Introduction to Science Studies
Raunchy,Geophysical Sciences,80s,Borneo,Romantic,Power Struggles,Sarcastic,loves to ride a bycycle and has a moustache,Overly ambitious first years,,ANTH 22130 Anthropology of the Machine
Scary,Civilization Studies,Ancient,Middle East,Sustainable,Capitalism,Clueless,Has a Hot Accent,People Who Just Want To Finish the Core,That meets on the quad,ANTH 22205 Slavery and Unfree Labor
Sensuous,Physics,Post-modern,New England,Contingent,Face,Harsh,teaches you how to synthesize meth,People Who Can See Russia From Their House!,,ANTH 22400 Big Science and the Birth of the National Security State
"Social Issue
","History, Philosophy, and Social Studies of Science and Medicine",Babylonian,Italy,Historiographical,Morality,Brilliant,owns seventeen shades of red pen,Frat boys,,ANTH 22530 Ethnographic Film
Soul-crushing,Computer Science,Pre-Historical,Japan,Hermeneutic,Religion,Well-Meaning Liberal,Can and will sing every opera song ever written,Riot Grrls,,ANTH 22710 Signs and the State
Tearjerker,History,Pre-Modern,Space,Phenomenoumenal,Language,Jewish,makes up for his lack of pedagogical skill with his prodigious amount of facial hair,People who were formerly pre-med,,"ANTH 22715 Weber, Bakhtin, Benjamin"
Time Intensive,Physical Sciences,Sophmore slump,Middle Earth,Antithetical,Class struggles,Uncaring,adds you on Facebook,Extremists,,ANTH 22910 Performance and Politics in India
Tiring,Political Science,50s,Planet Earth,Romantic,Anything except the Axiom of Choice,Charismatic,all the students have a crush on,Dull-eyed fourth years,,ANTH 23600 Medicine and Society in Twentieth-Century China
Unmemorable,Comparative Literature,Victorian,,Doctrinal,Rocks,Realist,is perfectly ordinary,Bright-Eyed First Years,Makes you question your self-existence,ANTH 23715 Self-Determination: Theory and Reality
Useless,Environmental Studies,The Eternal Now,USSR,Platonic,Biopower,Deadpan,farms vegetables for food,People Who Still Want to Read for Fun,,ANTH 23805 Nature/Culture
,Russian Studies,Mezozoic,The moon,Theoretical,The second coming of Christ,Demoralizing,assigns their own books for reading ,People Who Wear Hollister,,ANTH 24300 Medicine and Culture
,Slavic Languages and Literatures,Mongol Empire,Lake Michigan,Practical,The Matriarchy,Helpful,takes selfies in class,Cis-gendered SCUM!!!,,ANTH 24320 Cultural Psychology
